167444,29/12/2020,IA/N-0003799,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,42,85.84071429
167445,30/12/2020,IA/N-0003800,14100 SparePart,66900 OtherRepMaintCost,,Housing air condition maintenance,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : HVAC : 0095.003.0019,Kilogram,2,1716.815
167450,30/12/2020,IA/N-0003801,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,HVAC at Power house,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : HVAC : 0095.001.0023,Piece,2,678
167451,30/12/2020,IA/N-0003802,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #2,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0063,Piece,1,498367.75
167452,1/1/2021,IA/N-0003803,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8391,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,53,85.84075472
167454,1/4/2021,IA/N-0003804,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #1,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0014,metre,2,100
167455,1/5/2021,IA/N-0003805,14100 SparePart,66900 OtherRepMaintCost,,Unit #1,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0031,Litre,0.5,1260
167456,1/5/2021,IA/N-0003806,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,85.841
167457,1/7/2021,IA/N-0003807,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Maintenance at Power house,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Valve : Inlet : 0017.001.0018,Piece,1,114215
167458,1/11/2021,IA/N-0003808,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #1,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0051,Piece,1,201.65
